window_start;window_end;signal_day;current_symbol;predicted_symbol;signal;chosen_rule;rule_support;rule_confidence;rule_lift;open;close;ret_oc;strategy_ret;equity_curve
2021-04-08;2023-04-10;2023-04-11;d;d;HOLD;d->d;0.2549800796812749;0.8767123287671232;2.9737134394668634;222.9;218.6;-0.019291161956034145;0.0;0.982562267674944
2021-04-09;2023-04-11;2023-04-12;d;d;HOLD;d->d;0.2589641434262948;0.8783783783783784;2.939639639639639;218.6;219.22;0.0028362305580970017;0.0;0.982562267674944
2021-04-12;2023-04-12;2023-04-13;d;d;HOLD;d->d;0.26294820717131473;0.88;2.9063157894736835;219.49;219.85;0.0016401658389903193;0.0;0.982562267674944
2021-04-13;2023-04-13;2023-04-14;c;c;HOLD;c->c;0.23904382470119523;0.821917808219178;2.8260461625070366;220.0;221.87;0.008500000000000021;0.0;0.982562267674944
2021-04-14;2023-04-14;2023-04-17;c;c;HOLD;c->c;0.24302788844621515;0.8356164383561644;2.8343206219918544;222.98;228.1;0.02296170060095078;0.0;0.982562267674944
2021-04-15;2023-04-17;2023-04-18;c;c;HOLD;c->c;0.24302788844621515;0.8356164383561644;2.8343206219918544;227.89;232.66;0.020931150993900614;0.0;0.982562267674944
2021-04-16;2023-04-18;2023-04-19;c;c;HOLD;c->c;0.24701195219123506;0.8378378378378378;2.8039639639639637;232.67;232.95;0.0012034211544247266;0.0;0.982562267674944
2021-04-19;2023-04-19;2023-04-20;c;c;HOLD;c->c;0.250996015936255;0.84;2.7742105263157892;233.32;236.28;0.012686439225098612;0.0;0.982562267674944
2021-04-20;2023-04-20;2023-04-21;c;c;HOLD;c->c;0.2549800796812749;0.8311688311688312;2.6746586746586747;237.4;235.17;-0.0093934288121315;0.0;0.982562267674944
2021-04-21;2023-04-21;2023-04-24;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;235.07;235.1;0.00012762155953546236;0.0;0.982562267674944
2021-04-22;2023-04-24;2023-04-25;c;c;HOLD;c->c;0.27091633466135456;0.85;2.6339506172839506;235.13;235.3;0.0007230042954961762;0.0;0.982562267674944
2021-04-23;2023-04-25;2023-04-26;d;d;HOLD;d->d;0.250996015936255;0.863013698630137;2.927249166975194;235.6;235.21;-0.0016553480475381425;0.0;0.982562267674944
2021-04-26;2023-04-26;2023-04-27;d;d;HOLD;d->d;0.2549800796812749;0.8648648648648649;2.894414414414414;235.59;240.38;0.020331932594762053;0.0;0.982562267674944
2021-04-27;2023-04-27;2023-04-28;d;d;HOLD;d->d;0.2589641434262948;0.8666666666666667;2.8622807017543854;240.9;240.38;-0.002158572021585763;0.0;0.982562267674944
2021-04-28;2023-04-28;2023-05-02;d;d;HOLD;d->d;0.26294820717131473;0.868421052631579;2.8308270676691727;242.2;242.62;0.0017341040462428403;0.0;0.982562267674944
2021-04-29;2023-05-02;2023-05-03;d;d;HOLD;d->d;0.26693227091633465;0.8701298701298701;2.8000333000333;242.85;235.77;-0.02915379864113644;0.0;0.982562267674944
2021-04-30;2023-05-03;2023-05-04;d;d;HOLD;d->d;0.26693227091633465;0.8701298701298701;2.8000333000333;236.89;238.89;0.00844273713537929;0.0;0.982562267674944
2021-05-04;2023-05-04;2023-05-05;d;d;HOLD;d->d;0.27091633466135456;0.8717948717948718;2.769879909120415;239.24;237.7;-0.006437050660424763;0.0;0.982562267674944
2021-05-05;2023-05-05;2023-05-08;d;d;HOLD;d->d;0.27091633466135456;0.8717948717948718;2.769879909120415;238.69;238.27;-0.0017596045079391156;0.0;0.982562267674944
2021-05-06;2023-05-08;2023-05-10;d;d;HOLD;d->d;0.27091633466135456;0.8717948717948718;2.769879909120415;216.5;227.06;0.04877598152424943;0.0;0.982562267674944
2021-05-07;2023-05-10;2023-05-11;c;c;HOLD;c->c;0.2589641434262948;0.8333333333333334;2.6816239316239314;228.87;229.32;0.0019661816751867377;0.0;0.982562267674944
2021-05-10;2023-05-11;2023-05-12;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;231.0;229.29;-0.007402597402597437;0.0;0.982562267674944
2021-05-11;2023-05-12;2023-05-15;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;230.51;231.7;0.00516246583662313;0.0;0.982562267674944
2021-05-12;2023-05-15;2023-05-16;c;c;HOLD;c->c;0.26693227091633465;0.8481012658227848;2.660917721518987;232.4;230.62;-0.007659208261617905;0.0;0.982562267674944
2021-05-13;2023-05-16;2023-05-17;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;229.86;230.55;0.003001827199164699;0.0;0.982562267674944
2021-05-14;2023-05-17;2023-05-18;b;b;HOLD;b->b;0.12350597609561753;0.775;4.744512195121952;231.7;231.7;0.0;0.0;0.982562267674944
2021-05-17;2023-05-18;2023-05-19;b;b;HOLD;b->b;0.12350597609561753;0.775;4.744512195121952;230.99;231.27;0.0012121736871726098;0.0;0.982562267674944
2021-05-18;2023-05-19;2023-05-22;b;b;HOLD;b->b;0.12749003984063745;0.7804878048780488;4.664343786295006;232.2;231.0;-0.005167958656330701;0.0;0.982562267674944
2021-05-19;2023-05-22;2023-05-23;b;b;HOLD;b->b;0.13147410358565736;0.7857142857142857;4.586378737541529;231.25;236.43;0.02240000000000003;0.0;0.982562267674944
2021-05-20;2023-05-23;2023-05-24;b;b;HOLD;b->b;0.1394422310756972;0.813953488372093;4.643234672304439;237.49;246.06;0.03608572992547052;0.0;0.982562267674944
2021-05-21;2023-05-24;2023-05-25;b;b;HOLD;b->b;0.14342629482071714;0.8181818181818182;4.5636363636363635;246.1;243.76;-0.009508329947175959;0.0;0.982562267674944
2021-05-24;2023-05-25;2023-05-26;b;b;HOLD;b->b;0.14741035856573706;0.8222222222222222;4.48647342995169;243.45;248.1;0.01910043130006164;0.0;0.982562267674944
2021-05-25;2023-05-26;2023-05-29;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;249.78;251.18;0.0056049323404596275;0.0;0.982562267674944
2021-05-26;2023-05-29;2023-05-30;c;c;HOLD;c->c;0.26693227091633465;0.8481012658227848;2.660917721518987;248.84;244.65;-0.01683812891818035;0.0;0.982562267674944
2021-05-27;2023-05-30;2023-05-31;c;c;HOLD;c->c;0.27091633466135456;0.85;2.6668749999999997;244.0;246.17;0.008893442622950769;0.0;0.982562267674944
2021-05-28;2023-05-31;2023-06-01;c;c;HOLD;c->c;0.27091633466135456;0.85;2.6668749999999997;247.0;241.66;-0.02161943319838058;0.0;0.982562267674944
2021-05-31;2023-06-01;2023-06-02;c;c;HOLD;c->c;0.27091633466135456;0.85;2.6668749999999997;242.0;243.95;0.008057851239669374;0.0;0.982562267674944
2021-06-01;2023-06-02;2023-06-05;c;c;HOLD;c->c;0.26693227091633465;0.8481012658227848;2.6946002243230254;243.51;237.12;-0.026241222126401325;0.0;0.982562267674944
2021-06-02;2023-06-05;2023-06-06;d;d;HOLD;d->d;0.2589641434262948;0.8666666666666667;2.8622807017543854;235.92;240.91;0.021151237707697564;0.0;0.982562267674944
2021-06-03;2023-06-06;2023-06-07;d;d;HOLD;d->d;0.26294820717131473;0.868421052631579;2.8308270676691727;241.2;241.25;0.000207296849087941;0.0;0.982562267674944
2021-06-04;2023-06-07;2023-06-08;c;c;HOLD;c->c;0.2549800796812749;0.8311688311688312;2.7093945016022936;241.3;241.77;0.0019477828429341022;0.0;0.982562267674944
