"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","1,667.80","1,677.20","1,678.40","1,658.80","5.10M","0.36%"
"03/01/2024","1,661.80","1,654.40","1,674.60","1,648.80","9.28M","-0.17%"
"02/29/2024","1,664.60","1,659.60","1,699.20","1,659.60","13.40M","-0.31%"
"02/28/2024","1,669.80","1,682.20","1,686.40","1,660.80","18.09M","-0.07%"
"02/27/2024","1,671.00","1,656.00","1,684.80","1,656.00","5.45M","-0.21%"
"02/26/2024","1,674.60","1,672.80","1,685.20","1,667.40","7.09M","0.13%"
"02/23/2024","1,672.40","1,668.20","1,676.00","1,666.20","14.95M","0.22%"
"02/22/2024","1,668.80","1,652.80","1,668.83","1,645.00","11.41M","0.47%"
"02/21/2024","1,661.00","1,660.60","1,688.00","1,650.20","5.01M","-1.00%"
"02/20/2024","1,677.80","1,669.00","1,685.20","1,655.23","7.85M","0.52%"
"02/19/2024","1,669.20","1,676.40","1,690.20","1,659.00","9.62M","-0.43%"
"02/16/2024","1,676.40","1,662.00","1,679.40","1,650.20","11.11M","0.81%"
"02/15/2024","1,663.00","1,653.60","1,678.20","1,652.20","4.31M","-0.30%"
"02/14/2024","1,668.00","1,670.00","1,682.60","1,631.80","6.15M","1.60%"
"02/13/2024","1,641.80","1,644.60","1,659.40","1,616.60","15.29M","0.95%"
"02/12/2024","1,626.40","1,659.80","1,670.00","1,621.80","11.95M","-2.02%"
"02/09/2024","1,660.00","1,658.60","1,669.00","1,654.20","15.61M","0.55%"
"02/08/2024","1,651.00","1,669.00","1,674.40","1,645.40","7.52M","-1.29%"
"02/07/2024","1,672.60","1,643.00","1,672.93","1,643.00","7.62M","1.19%"
"02/06/2024","1,653.00","1,657.20","1,670.80","1,643.40","5.04M","-0.58%"
"02/05/2024","1,662.60","1,601.40","1,670.20","1,601.40","12.16M","3.19%"
"02/02/2024","1,611.20","1,598.60","1,612.40","1,575.00","13.84M","1.58%"
"02/01/2024","1,586.20","1,582.80","1,603.20","1,560.60","22.80M","1.16%"
"01/31/2024","1,568.00","1,535.00","1,622.60","1,514.80","15.58M","1.96%"
"01/30/2024","1,537.80","1,532.20","1,555.80","1,523.80","7.30M","0.27%"
"01/29/2024","1,533.60","1,541.20","1,552.80","1,532.40","5.99M","-0.22%"
"01/26/2024","1,537.00","1,512.00","1,549.10","1,512.00","7.06M","1.04%"
"01/25/2024","1,521.20","1,542.40","1,549.40","1,518.40","6.79M","-2.16%"
"01/24/2024","1,554.80","1,546.80","1,563.60","1,536.80","9.00M","0.04%"
"01/23/2024","1,554.20","1,554.80","1,566.60","1,536.60","11.75M","-0.10%"
"01/22/2024","1,555.80","1,562.80","1,573.00","1,532.80","6.70M","-0.50%"
"01/19/2024","1,563.60","1,546.20","1,568.40","1,540.80","12.68M","0.51%"
"01/18/2024","1,555.60","1,570.40","1,573.20","1,550.20","7.68M","-1.27%"
"01/17/2024","1,575.60","1,561.40","1,591.40","1,561.40","7.76M","-0.39%"
"01/16/2024","1,581.80","1,591.20","1,599.40","1,570.40","12.14M","0.11%"
"01/15/2024","1,580.00","1,584.80","1,585.50","1,563.40","9.84M","0.45%"
"01/12/2024","1,573.00","1,560.20","1,578.40","1,547.00","5.26M","1.07%"
"01/11/2024","1,556.40","1,571.00","1,581.80","1,539.00","11.02M","-0.92%"
"01/10/2024","1,570.80","1,568.00","1,573.20","1,559.40","4.04M","-0.34%"
"01/09/2024","1,576.20","1,550.00","1,578.00","1,546.00","9.92M","1.76%"
"01/08/2024","1,549.00","1,539.00","1,549.00","1,537.60","7.77M","0.51%"
